partner,arc_id,step,lon,lat,trade_type,stroke_width,exports_usd_bn,imports_usd_bn,balance_usd_bn
Japan,Japan,55,135.85,34.7564,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,56,136.33,35.0629,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,57,136.81,35.3605,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,58,137.29,35.6492,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,59,137.77,35.9291,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,60,138.25,36.2,Export-heavy,3.98,18.79,15.56,3.24
Thailand,Thailand,0,109.45,4.21,Export-heavy,2.77,12.87,11.94,0.93
Thailand,Thailand,1,109.309,4.6666,Export-heavy,2.77,12.87,11.94,0.93
Thailand,Thailand,2,109.168,5.1142,Export-heavy,2.77,12.87,11.94,0.93
Thailand,Thailand,3,109.027,5.553,Export-heavy,2.77,12.87,11.94,0.93
Thailand,Thailand,4,108.886,5.9829,Export-heavy,2.77,12.87,11.94,0.93
Thailand,Thailand,5,108.745,6.4039,Export-heavy,2.77,12.87,11.94,0.93
Thailand,Thailand,6,108.604,6.816,Export-heavy,2.77,12.87,11.94,0.93
